service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AUG13-MVS-BUS-Weekday-01,1,1,1,1,1,0,0,20131023,20131206
AUG13-MVS-BUS-Saturday-01,0,0,0,0,0,1,0,20131026,20131130
AUG13-MVS-BUS-Sunday-01,0,0,0,0,0,0,1,20131027,20131201
AUG13-MVS-BUS-Holiday-01,0,0,0,0,0,0,1,20131128,20131128
AUG13-MVS-BUS-Reduced-01,0,0,0,0,0,1,0,20131129,20131129
AUG13-MVS-BUS-Weekday-04,1,1,1,1,1,0,0,20131127,20131127
AUG13-MVS-NS-Weekday-01,1,1,1,1,1,0,0,20131023,20131206
AUG13-MVS-NS-Saturday-01,0,0,0,0,0,1,0,20131026,20131130
AUG13-MVS-NS-Sunday-01,0,0,0,0,0,0,1,20131027,20131201
AUG13-MVS-NS-Reduced-01,0,0,0,0,0,1,0,20131129,20131129
AUG13-MVS-RAIL-Weekday-01,1,1,1,1,1,0,0,20131023,20131206
AUG13-MVS-RAIL-Weekday-01-0000100,0,0,0,0,1,0,0,20131023,20131206
AUG13-MVS-RAIL-Saturday-01,0,0,0,0,0,1,0,20131026,20131130
AUG13-MVS-RAIL-Sunday-01,0,0,0,0,0,0,1,20131027,20131201
AUG13-MVS-RAIL-Holiday-01,0,0,0,0,0,0,1,20131128,20131128
AUG13-MVS-RAIL-Reduced-01,0,0,0,0,0,1,0,20131129,20131129
AUG13-MVS-SUB-Weekday-02,1,1,1,1,1,0,0,20131023,20131206
AUG13-MVS-SUB-Weekday-02-0000100,0,0,0,0,1,0,0,20131023,20131206
AUG13-MVS-SUB-Saturday-01,0,0,0,0,0,1,0,20131026,20131130
AUG13-MVS-SUB-Sunday-01,0,0,0,0,0,0,1,20131027,20131201
AUG13-MVS-SUB-Holiday-01,0,0,0,0,0,0,1,20131128,20131128
