route_id,service_id,trip_id,trip_headsign,block_id,shape_id,wheelchair_accessible
831-68,AUG13-MVS-BUS-Weekday-01,6797397-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31510,8310001,1
831-68,AUG13-MVS-BUS-Weekday-01,6797398-AUG13-MVS-BUS-Weekday-01,"Southbound 831 BLAINE / NORTHTOWN",31510,8310002,1
831-68,AUG13-MVS-BUS-Weekday-01,6797399-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31510,8310001,1
831-68,AUG13-MVS-BUS-Weekday-01,6797400-AUG13-MVS-BUS-Weekday-01,"Southbound 831 BLAINE / NORTHTOWN",31510,8310002,1
831-68,AUG13-MVS-BUS-Weekday-01,6797401-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31510,8310001,1
831-68,AUG13-MVS-BUS-Weekday-01,6797402-AUG13-MVS-BUS-Weekday-01,"Southbound 831 BLAINE / NORTHTOWN",31510,8310002,1
831-68,AUG13-MVS-BUS-Weekday-01,6797403-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31510,8310001,1
831-68,AUG13-MVS-BUS-Weekday-01,6797404-AUG13-MVS-BUS-Weekday-01,"Southbound 831 BLAINE / NORTHTOWN",31510,8310002,1
831-68,AUG13-MVS-BUS-Weekday-01,6797405-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31510,8310001,1
831-68,AUG13-MVS-BUS-Weekday-01,6797406-AUG13-MVS-BUS-Weekday-01,"Southbound 831 BLAINE / NORTHTOWN",31510,8310002,1
831-68,AUG13-MVS-BUS-Weekday-01,6797407-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31510,8310001,1
831-68,AUG13-MVS-BUS-Weekday-01,6797408-AUG13-MVS-BUS-Weekday-01,"Southbound 831 BLAINE / NORTHTOWN",31510,8310002,1
831-68,AUG13-MVS-BUS-Weekday-01,6797409-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31510,8310001,1
831-68,AUG13-MVS-BUS-Weekday-01,6797410-AUG13-MVS-BUS-Weekday-01,"Southbound 831 BLAINE / NORTHTOWN",31510,8310002,1
831-68,AUG13-MVS-BUS-Weekday-01,6797411-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31511,8310001,1
831-68,AUG13-MVS-BUS-Weekday-01,6797412-AUG13-MVS-BUS-Weekday-01,"Southbound 831 BLAINE / NORTHTOWN",31511,8310002,1
831-68,AUG13-MVS-BUS-Weekday-01,6797413-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31511,8310001,1
831-68,AUG13-MVS-BUS-Weekday-01,6797414-AUG13-MVS-BUS-Weekday-01,"Southbound 831 BLAINE / NORTHTOWN",31511,8310002,1
831-68,AUG13-MVS-BUS-Weekday-01,6797415-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31511,8310001,1
831-68,AUG13-MVS-BUS-Weekday-01,6797416-AUG13-MVS-BUS-Weekday-01,"Southbound 831 BLAINE / NORTHTOWN",31511,8310002,1
831-68,AUG13-MVS-BUS-Weekday-01,6797417-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31511,8310001,1
831-68,AUG13-MVS-BUS-Weekday-01,6797418-AUG13-MVS-BUS-Weekday-01,"Southbound 831 BLAINE / NORTHTOWN",31511,8310002,1
831-68,AUG13-MVS-BUS-Weekday-01,6797419-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31511,8310001,1
831-68,AUG13-MVS-BUS-Weekday-01,6797420-AUG13-MVS-BUS-Weekday-01,"Southbound 831 BLAINE / NORTHTOWN",31511,8310002,1
831-68,AUG13-MVS-BUS-Weekday-01,6797421-AUG13-MVS-BUS-Weekday-01,"Northbound 831 NORTHTOWN/BLAINE",31511,8310001,1
663-68,AUG13-MVS-BUS-Weekday-01,6797422-AUG13-MVS-BUS-Weekday-01,"Westbound 663  Express / Greenbrier",2170,6630002,1
663-68,AUG13-MVS-BUS-Weekday-01,6797423-AUG13-MVS-BUS-Weekday-01,"Westbound 663  Express / Greenbrier",2221,6630002,1
663-68,AUG13-MVS-BUS-Weekday-01,6797424-AUG13-MVS-BUS-Weekday-01,"Eastbound 663  Express / Downtown",2125,6630001,1
663-68,AUG13-MVS-BUS-Weekday-01,6797425-AUG13-MVS-BUS-Weekday-01,"Eastbound 663  Express / Downtown",2125,6630001,1
663-68,AUG13-MVS-BUS-Weekday-01,6797426-AUG13-MVS-BUS-Weekday-01,"Eastbound 663  Express / Downtown",2126,6630001,1
663-68,AUG13-MVS-BUS-Weekday-01,6797427-AUG13-MVS-BUS-Weekday-01,"Westbound 663  Express / Greenbrier",2127,6630002,1
663-68,AUG13-MVS-BUS-Weekday-01,6797428-AUG13-MVS-BUS-Weekday-01,"Westbound 663  Express / Greenbrier",2127,6630002,1
663-68,AUG13-MVS-BUS-Weekday-01,6797429-AUG13-MVS-BUS-Weekday-01,"Eastbound 663  Express / Downtown",2137,6630001,1
663-68,AUG13-MVS-BUS-Weekday-01,6797430-AUG13-MVS-BUS-Weekday-01,"Eastbound 663  Express / Downtown",2139,6630001,1
663-68,AUG13-MVS-BUS-Weekday-01,6797431-AUG13-MVS-BUS-Weekday-01,"Westbound 663  Express / Greenbrier",2141,6630002,1
663-68,AUG13-MVS-BUS-Weekday-01,6797432-AUG13-MVS-BUS-Weekday-01,"Westbound 663  Express / Greenbrier",2141,6630002,1
663-68,AUG13-MVS-BUS-Weekday-01,6797433-AUG13-MVS-BUS-Weekday-01,"Westbound 663  Express / Greenbrier",1466,6630002,1
663-68,AUG13-MVS-BUS-Weekday-01,6797434-AUG13-MVS-BUS-Weekday-01,"Eastbound 663  Express / Downtown",2140,6630001,1
